銀行中文名稱,本月,本年累計,銀行類別,時間,業務項目
總計,3806076000,37506993000,本國銀行,201611,進口開狀
臺灣銀行,317787000,3116427000,本國銀行,201611,進口開狀
臺灣土地銀行,101865000,1273711000,本國銀行,201611,進口開狀
合作金庫銀行,214888000,2373048000,本國銀行,201611,進口開狀
第一商業銀行,441178000,4204870000,本國銀行,201611,進口開狀
華南商業銀行,432090000,4247179000,本國銀行,201611,進口開狀
彰化商業銀行,387185000,3331508000,本國銀行,201611,進口開狀
上海商業儲蓄銀行,145850000,1610622000,本國銀行,201611,進口開狀
台北富邦銀行,87786000,1130131000,本國銀行,201611,進口開狀
國泰世華商業銀行,81838000,678981000,本國銀行,201611,進口開狀
中國輸出入銀行,0,0,本國銀行,201611,進口開狀
高雄銀行,13622000,111003000,本國銀行,201611,進口開狀
兆豐國際商業銀行,719944000,6100906000,本國銀行,201611,進口開狀
花旗(台灣)銀行,14029000,156899000,本國銀行,201611,進口開狀
澳盛(台灣)商業銀行,13069000,318836000,本國銀行,201611,進口開狀
中華開發工業銀行,0,0,本國銀行,201611,進口開狀
臺灣工業銀行,5570000,84063000,本國銀行,201611,進口開狀
臺灣中小企業銀行,168557000,1534007000,本國銀行,201611,進口開狀
渣打國際商業銀行,7640000,125718000,本國銀行,201611,進口開狀
台中商業銀行,93114000,704980000,本國銀行,201611,進口開狀
京城商業銀行,2054000,24075000,本國銀行,201611,進口開狀
滙豐(台灣)商業銀行,20408000,374169000,本國銀行,201611,進口開狀
瑞興商業銀行,250000,1657000,本國銀行,201611,進口開狀
華泰商業銀行,16443000,95352000,本國銀行,201611,進口開狀
臺灣新光商業銀行,38083000,443771000,本國銀行,201611,進口開狀
陽信商業銀行,11866000,137333000,本國銀行,201611,進口開狀
板信商業銀行,13340000,133985000,本國銀行,201611,進口開狀
三信商業銀行,1397000,14788000,本國銀行,201611,進口開狀
聯邦商業銀行,10247000,110362000,本國銀行,201611,進口開狀
遠東國際商業銀行,11080000,96541000,本國銀行,201611,進口開狀
元大商業銀行,44684000,475370000,本國銀行,201611,進口開狀
永豐商業銀行,43067000,583735000,本國銀行,201611,進口開狀
玉山商業銀行,114776000,1425972000,本國銀行,201611,進口開狀
凱基商業銀行,10598000,123966000,本國銀行,201611,進口開狀
星展(台灣)商業銀行,43354000,449020000,本國銀行,201611,進口開狀
台新國際商業銀行,42914000,378601000,本國銀行,201611,進口開狀
大眾商業銀行,4355000,94704000,本國銀行,201611,進口開狀
日盛國際商業銀行,5707000,76726000,本國銀行,201611,進口開狀
安泰商業銀行,10451000,132719000,本國銀行,201611,進口開狀
中國信託商業銀行,114990000,1231258000,本國銀行,201611,進口開狀
